Dre,Curso,Nome,Gênero,Data de Nascimento,Altura,Peso,CRA,Créditos Obtidos,Renda
5048379422494642,engenharia mecânica,Clare,feminino,10/06/2002,1.81,74,8.7,29,29164.55
5048372101560692,engenharia naval,Cate,masculino,21/07/1996,1.64,83,3.65,21,42837.0
5048374194711554,engenharia mecânica,Violante,masculino,13/11/1998,1.55,63,7.89,29,22902.92
5048371254985169,engenharia civil,Coleman,masculino,27/04/2001,1.63,60,1.21,1,19790.35
5108759933221021,engenharia de petróleo,Janeen,feminino,12/03/1997,1.7,66,9.38,32,31637.3
5108758523452772,engenharia naval,Hobie,feminino,06/12/1998,1.75,53,1.83,9,34530.45
5048377782843465,engenharia civil,Emmye,masculino,12/09/2000,2.07,79,0.32,1,43055.53
5048376452849802,engenharia de petróleo,Lissie,feminino,21/02/1995,1.51,61,2.17,15,31719.54
5108752903454912,engenharia de produção,Bartlett,masculino,30/11/1995,1.5,87,9.77,5,18646.15
5108755040817750,engenharia mecânica,Ilysa,feminino,28/04/1996,2.09,67,7.04,2,14974.68
5048379888224327,engenharia de produção,Godfry,masculino,29/07/1995,1.68,109,3.06,28,29206.65
5048373138433796,engenharia naval,Charmaine,feminino,13/11/1997,1.62,109,7.59,12,36324.92
5108754331691057,engenharia naval,Hillard,feminino,26/09/2000,1.9,46,0.01,4,13422.1
5048370622708642,engenharia de petróleo,Dur,masculino,03/12/1995,1.71,119,2.92,20,18104.8
5048371337439267,engenharia civil,Suzann,masculino,07/03/1998,2.09,48,0.34,15,36835.99
5048372393279670,engenharia de petróleo,Adair,feminino,21/10/1998,1.82,120,4.62,1,10058.56
5108759649663078,engenharia de produção,Horatio,masculino,31/05/1999,1.66,98,4.92,29,22057.04
5108757205384220,engenharia civil,Armstrong,masculino,23/01/2000,1.67,106,8.97,8,29593.98
5108759833412407,engenharia civil,Reiko,masculino,10/05/1999,1.83,111,1.24,19,36659.4
5048373491364224,engenharia naval,Pollyanna,feminino,04/09/2002,1.68,49,6.81,12,19165.23
5048370756743357,engenharia de petróleo,Deena,feminino,22/06/1995,1.74,51,9.49,10,39293.45
5108751790863672,engenharia de petróleo,Rriocard,feminino,04/04/2000,1.94,61,6.22,8,31521.6
5048374453829469,engenharia de petróleo,Yorgo,masculino,18/09/1996,1.85,60,6.83,21,26569.52
5048372604518965,engenharia de produção,Rosetta,masculino,11/02/1995,2.04,79,9.17,21,12728.71
5048374843050404,engenharia naval,Heriberto,feminino,02/11/1995,1.99,55,2.49,26,24102.89
5108759404393531,engenharia mecânica,Edgardo,feminino,12/02/1995,1.83,76,5.08,15,13781.23
5108757133890553,engenharia de petróleo,Sheff,feminino,15/08/2002,2.02,73,0.22,31,13918.08
5048372813550510,engenharia civil,Chen,masculino,19/08/1998,1.56,103,6.79,17,5954.6
5048376759455451,engenharia civil,Rock,feminino,20/10/2000,2.01,107,5.03,16,11701.94
5108751523681946,engenharia de petróleo,Nathan,masculino,13/07/1999,1.59,94,9.52,25,25311.89
5108758948405744,engenharia de produção,Gretta,masculino,20/12/1998,1.71,62,0.04,1,16968.82
5108755450103774,engenharia mecânica,Orion,masculino,07/07/1997,1.97,96,5.82,25,14208.18
5048379270633077,engenharia de produção,Byram,masculino,28/07/1995,1.88,63,6.83,7,28758.72
5048379259936400,engenharia naval,Konstance,masculino,02/12/2002,1.8,100,9.18,24,29544.42
5048379085099324,engenharia naval,Ralf,masculino,23/10/2000,1.96,113,8.88,31,41755.89
5108759797106672,engenharia de produção,Sullivan,feminino,24/10/1999,1.94,85,6.03,5,9456.92
5108754595464050,engenharia mecânica,Sheree,masculino,18/03/2001,1.64,103,7.65,3,19311.64
5048375190124361,engenharia naval,Lucienne,masculino,14/01/1997,1.79,55,0.72,14,18692.15
5048373529615472,engenharia civil,Timothea,masculino,21/01/1995,1.66,59,9.75,0,29565.82
5048371394299422,engenharia de petróleo,Quill,masculino,04/12/2002,2.08,120,7.47,14,8228.64
5108756120924615,engenharia de petróleo,Karlis,feminino,10/01/2000,1.6,47,4.29,1,40765.45
5108755092412484,engenharia naval,Jonah,masculino,09/07/1997,2.05,118,3.91,0,2507.92
5108754560687321,engenharia civil,Hastings,masculino,27/12/1996,1.68,55,2.47,21,37960.27
5108758955458164,engenharia civil,Rufus,masculino,11/06/2000,2.1,112,6.3,15,42460.18
5108757196545706,engenharia naval,Becka,masculino,05/03/2000,1.85,109,1.56,4,13814.6
5048377089599372,engenharia civil,Tull,feminino,29/03/2002,1.59,106,3.13,25,33767.56
5048375307745389,engenharia civil,Weidar,masculino,15/05/1995,1.79,110,6.84,31,37018.91
5108755272884411,engenharia civil,Kati,feminino,19/02/1998,2.09,102,1.17,25,18423.73
5108751368189500,engenharia de petróleo,Ibbie,feminino,29/05/1999,1.84,55,0.24,3,25850.98
5048372250842057,engenharia naval,Brynne,masculino,17/08/1996,1.82,76,4.77,19,22287.0
5048371438223990,engenharia de produção,Zachary,masculino,06/04/1998,1.65,78,6.8,23,20347.49
5108758392404268,engenharia de produção,Rick,masculino,28/07/2002,1.79,71,7.63,18,32530.53
5108756951355244,engenharia naval,Adham,feminino,29/02/1996,2.07,63,9.56,9,30096.94
5048376422749462,engenharia naval,Si,masculino,19/08/1997,1.62,110,1.21,12,21865.23
5108759875142086,engenharia naval,Dareen,masculino,12/11/2001,1.88,68,0.0,5,17394.0
5048371966585083,engenharia de petróleo,Judon,masculino,26/06/2001,1.52,83,6.65,8,41734.17
5108753549873655,engenharia mecânica,Ashlan,feminino,30/01/1995,1.58,74,2.68,7,35617.29
5048371215310200,engenharia de produção,Ros,feminino,09/07/1999,2.1,77,8.96,12,31517.15
5108754554385957,engenharia mecânica,Aubine,feminino,29/10/1996,1.51,89,6.31,7,12619.58
5048371972062580,engenharia de petróleo,Paule,masculino,18/12/2000,1.65,48,1.01,21,7670.38
5048374936295015,engenharia de petróleo,Malissa,feminino,06/09/1997,2.0,116,2.42,23,8706.88
5108755387852725,engenharia de petróleo,Ros,feminino,09/05/1995,1.8,111,3.83,7,21093.01
5108751107228601,engenharia de produção,Dorise,masculino,23/12/1998,1.75,72,9.11,23,31292.2
5108752028931398,engenharia naval,Tiffanie,feminino,17/11/2000,1.77,56,0.58,3,9001.62
5108756128797443,engenharia civil,Anthia,masculino,09/08/2001,1.53,64,8.25,8,20586.86
5108755483299938,engenharia naval,Thaddus,masculino,12/07/1995,1.5,92,3.28,29,23099.33
5108751698431036,engenharia de produção,Mersey,masculino,23/09/2001,1.8,106,5.43,18,35707.27
5108751462511278,engenharia mecânica,Annice,feminino,10/07/2001,1.7,114,0.46,26,41881.85
5108750529083925,engenharia de petróleo,Felice,feminino,05/03/1996,1.73,106,4.89,31,4862.14
5108754120661089,engenharia de petróleo,Cornelia,feminino,26/10/2002,1.59,63,9.95,26,5924.0
5108756486642595,engenharia de petróleo,Shelagh,feminino,02/08/1996,1.52,112,0.47,14,2786.12
5108756715459852,engenharia civil,Anabal,feminino,08/03/1998,2.04,79,8.18,31,33767.5
5108754103638864,engenharia de petróleo,Benjy,feminino,27/01/2002,1.74,79,8.65,0,36086.39
5048370028900496,engenharia de petróleo,Margarita,feminino,30/04/1999,2.0,71,6.23,5,43854.1
5048379355557811,engenharia civil,Ferdinanda,feminino,06/10/2002,1.6,110,6.07,2,28525.29
5048372077398986,engenharia naval,Sanderson,feminino,12/12/2001,1.86,105,8.23,21,44039.75
5048376159201836,engenharia mecânica,Alexio,masculino,25/08/1999,1.62,68,3.33,28,18780.21
5108751761865649,engenharia de petróleo,Joanie,masculino,01/01/1997,1.94,108,7.14,2,20719.39
5048371534357916,engenharia mecânica,Corby,feminino,09/02/1998,1.94,116,9.63,10,30111.46
5108750781849807,engenharia mecânica,Lorelei,feminino,24/04/1996,1.72,108,5.6,2,39091.48
5108752129538019,engenharia de petróleo,Sophie,masculino,26/06/1998,2.05,112,0.0,13,17637.66
5048374173411390,engenharia de petróleo,Dunstan,masculino,20/03/1996,1.9,77,1.68,2,31857.3
5108757168819188,engenharia civil,Elora,masculino,06/03/2002,1.93,71,1.28,6,16711.87
5108759044087113,engenharia de produção,Frances,masculino,23/10/1995,1.83,54,8.07,7,34556.93
5048372553250966,engenharia naval,Alvera,masculino,30/12/1995,1.96,105,5.86,30,17530.43
5048370020027132,engenharia civil,Guntar,masculino,16/07/2000,1.85,58,8.0,16,5311.68
5048379417009322,engenharia de produção,Jens,feminino,11/05/2002,1.65,108,6.7,17,41013.98
5048379998298385,engenharia de produção,Uri,feminino,26/05/1995,2.02,62,6.87,2,34753.07
5048375497366590,engenharia civil,Nat,masculino,03/08/2001,1.59,90,2.19,4,40730.17
5108750759592868,engenharia de produção,Hilliary,masculino,15/06/1998,1.95,64,9.41,13,39093.07
5048377717186493,engenharia civil,Alisander,feminino,02/05/1996,1.55,52,6.82,31,7058.83
5108750494739139,engenharia mecânica,Creight,feminino,13/01/2000,1.94,57,0.64,8,25665.67
5108757960310840,engenharia civil,Ezri,feminino,08/08/2001,1.82,88,0.53,16,13590.72
5048371840202558,engenharia de petróleo,Rustie,feminino,17/02/1995,2.02,48,9.07,13,41593.31
5108750525999488,engenharia mecânica,Lavinie,feminino,08/09/2000,2.0,83,0.31,9,19072.72
5048372820505937,engenharia naval,Artemis,feminino,31/01/1999,2.04,57,3.58,7,3987.53
5108756060885149,engenharia civil,Constantin,feminino,26/01/1998,1.88,53,7.77,24,35042.97
5108751242702163,engenharia mecânica,Thayne,feminino,02/12/2000,1.54,60,1.7,9,34098.16
5048370529288474,engenharia naval,Victor,feminino,09/02/1996,1.92,77,9.96,10,4091.81
5048374179254539,engenharia mecânica,Pasquale,feminino,21/07/1997,1.96,79,8.97,2,34901.01
5108752470383965,engenharia mecânica,Andy,masculino,02/03/1998,1.57,120,5.74,21,11504.16
5048376790833914,engenharia de produção,Richardo,feminino,31/03/1998,1.82,101,9.57,25,30446.08
5108752205554179,engenharia naval,Templeton,masculino,19/04/1997,2.05,72,7.0,25,21241.1
5048373040347084,engenharia naval,David,masculino,13/11/2001,1.55,82,5.01,25,4188.34
5048370469323091,engenharia de petróleo,Nancey,masculino,22/02/1999,1.53,90,4.81,9,17621.94
5108754111699635,engenharia naval,Niles,feminino,14/12/1999,1.66,110,2.54,15,868.43
5048379842198369,engenharia mecânica,Maddy,feminino,23/11/1998,2.07,89,0.71,1,15948.96
5048374753416264,engenharia de petróleo,Jemie,masculino,11/05/1999,1.57,65,2.05,4,30054.34
5108750549628824,engenharia de produção,Artemis,masculino,23/12/1999,1.53,119,5.02,27,14100.22
5048372947977811,engenharia de produção,Clemmy,feminino,26/08/2001,1.79,113,6.16,21,37189.96
5048379974598972,engenharia naval,Ellissa,feminino,04/09/2000,1.6,96,1.11,31,29012.5
5108755238184526,engenharia de petróleo,Maryanna,masculino,13/10/2000,1.59,87,8.66,19,21071.63
5108757502570356,engenharia mecânica,Onofredo,masculino,09/12/1997,2.0,68,2.38,4,22501.99
5048372231941739,engenharia civil,Odessa,masculino,07/02/1997,1.89,52,2.33,25,41886.13
5048372682690454,engenharia de produção,Hendrika,feminino,09/02/2000,2.03,115,4.44,12,20290.96
5048370797086840,engenharia de petróleo,Eberhard,masculino,07/05/1999,1.53,114,5.66,5,11960.73
5108754618859849,engenharia de produção,Lance,masculino,18/09/2000,1.64,113,1.14,28,23911.04
5048370692136633,engenharia naval,Hermina,masculino,24/07/2002,2.1,99,4.38,1,30427.02
5108754281441099,engenharia civil,Maurene,feminino,28/03/2001,2.05,68,4.82,22,25476.2
5108752492722026,engenharia de produção,Tomi,masculino,17/03/2001,1.53,107,8.19,24,14590.37
5048371055280141,engenharia mecânica,Rodd,feminino,29/10/2000,1.82,85,1.88,28,31574.56
5108757919202635,engenharia naval,Shayla,masculino,12/01/2001,1.92,70,7.8,8,26280.19
5108759468176129,engenharia de produção,Charline,feminino,09/10/1996,1.5,68,8.17,21,32333.09
5108758375747170,engenharia mecânica,Dex,feminino,03/04/1999,1.77,114,8.85,17,18397.85
5108753885372833,engenharia mecânica,Eddi,masculino,30/07/2001,1.53,64,5.1,13,44497.43
5048370789602075,engenharia mecânica,Ulrike,masculino,10/01/2002,2.04,64,0.34,1,3202.58
5048374484125887,engenharia mecânica,Samara,feminino,14/03/2001,1.88,118,8.93,27,23671.77
5108754786019267,engenharia de produção,Dolly,feminino,03/08/1999,1.81,117,3.08,5,35661.33
5108750922396825,engenharia de produção,Geoffrey,feminino,03/12/1998,1.57,80,6.79,26,11596.84
5108751595588391,engenharia mecânica,Halsy,masculino,31/10/1999,1.79,104,4.48,11,42800.77
5108758082219133,engenharia mecânica,Lesley,masculino,22/07/1997,1.78,87,6.02,22,2460.29
5048370410773352,engenharia de produção,Mortie,feminino,25/07/1999,1.83,92,8.97,13,4037.08
5108753961625682,engenharia naval,Cyb,feminino,13/10/1999,2.02,114,0.37,22,38489.28
5048379142260174,engenharia de petróleo,Briggs,feminino,25/10/2000,1.71,105,4.84,24,17067.46
5048370475812574,engenharia de produção,Shepard,feminino,30/10/2001,1.88,84,6.04,32,33231.66
5108750086292257,engenharia de petróleo,Andria,feminino,19/05/2000,1.89,67,6.48,24,20216.46
5108758375637769,engenharia civil,Gretna,masculino,17/09/2000,1.9,73,4.12,20,22992.53
5048375252726129,engenharia de petróleo,Grant,masculino,06/11/1995,2.04,50,9.47,22,15946.19
5108757520603460,engenharia civil,Pepi,masculino,06/08/2000,1.62,61,2.91,8,3099.89
5048374783448915,engenharia civil,Irwinn,feminino,02/07/1996,1.52,109,1.72,2,14166.69
5108755207399915,engenharia de petróleo,Gannie,masculino,19/04/2002,1.51,70,6.09,12,11946.01
5048379752262973,engenharia de produção,Magdaia,feminino,14/12/1999,1.68,101,6.04,5,1856.95
5048374834665079,engenharia de petróleo,Harmon,feminino,17/04/1995,1.76,103,6.26,7,44120.93
5108753279793206,engenharia de petróleo,Teodoor,masculino,24/04/1996,2.05,93,8.56,16,14106.59
5108757988743238,engenharia de petróleo,Darrelle,feminino,03/02/1998,1.83,99,6.73,25,28112.62
5048374804758532,engenharia de petróleo,Wini,masculino,12/07/2000,1.55,119,9.22,3,9569.72
5108755364840735,engenharia de petróleo,Marrilee,masculino,10/10/1995,1.63,109,9.21,11,15059.34
5108757754402001,engenharia mecânica,Florida,feminino,05/06/1996,1.76,78,4.08,29,15060.81
5108750895904589,engenharia de petróleo,Kippie,feminino,22/04/2000,2.05,102,3.1,5,31089.07
5108755136179917,engenharia civil,Monro,masculino,18/10/2001,1.69,95,0.24,9,15096.39
5048371967331891,engenharia mecânica,Lion,feminino,29/10/1997,1.97,47,9.7,1,3604.79
5108752547924973,engenharia de produção,Tulley,masculino,14/04/1995,1.59,66,5.12,13,44239.34
5108752596817730,engenharia mecânica,Benedikt,feminino,27/10/1995,1.54,104,9.18,24,36348.56
5048373011389453,engenharia de produção,Elvira,feminino,27/09/1999,1.85,99,5.81,4,21153.85
5048379133348806,engenharia naval,Rab,feminino,08/02/1998,1.63,76,6.2,15,32567.11
5048379860087627,engenharia de produção,Gaile,masculino,22/12/2002,1.91,116,3.36,26,28032.14
5048376115733757,engenharia civil,Igor,feminino,29/04/2002,2.04,51,6.83,28,22086.99
5108751890382011,engenharia de petróleo,Bernhard,feminino,29/02/2000,2.03,72,3.76,7,21547.68
5048376801903011,engenharia de produção,Stefania,masculino,11/01/2001,1.55,87,8.22,32,41404.49
5108753570550701,engenharia de produção,Frans,masculino,31/01/2001,1.74,64,0.46,4,30075.79
5048377116349957,engenharia civil,Juieta,feminino,12/09/2002,1.98,85,3.57,30,34358.42
5048376132222164,engenharia mecânica,Jelene,masculino,28/05/1998,1.69,47,5.15,8,14835.59
5108757315594049,engenharia civil,Sabine,feminino,08/07/1995,1.76,64,6.37,9,11995.07
5108759839556603,engenharia mecânica,Tobin,masculino,07/03/2002,1.88,69,7.42,29,23718.92
5108757909768355,engenharia naval,Clovis,feminino,26/07/2002,2.01,110,2.61,27,1303.43
5108750157487828,engenharia de petróleo,Donovan,masculino,03/05/1995,1.69,82,9.98,17,4920.01
5048374957340211,engenharia de petróleo,Westleigh,feminino,17/03/2002,1.8,94,4.17,16,34375.26
5108752783724129,engenharia de petróleo,Asher,masculino,20/05/2000,1.98,75,7.34,7,11689.68
5048376710740579,engenharia de petróleo,Gerardo,masculino,03/12/1999,1.72,67,2.07,1,4581.86
5108757364711858,engenharia de petróleo,Willy,masculino,22/07/1995,2.04,73,7.3,27,10498.49
5048372273665931,engenharia civil,Aile,feminino,22/10/1996,1.55,84,2.23,5,38266.18
5108755086720868,engenharia civil,Pamela,feminino,18/08/1995,2.04,46,8.83,5,6795.8
5048376771789481,engenharia civil,Justin,feminino,04/08/1995,1.78,84,9.32,20,25705.91
5108751254754748,engenharia mecânica,Candra,masculino,02/04/1998,1.74,50,2.68,21,44563.81
5108754533019834,engenharia de petróleo,Martin,feminino,17/04/1999,1.67,88,1.88,28,24767.85
5108751476539224,engenharia de petróleo,Clementius,masculino,07/07/1998,1.99,99,4.91,13,12903.78
5108750169180627,engenharia de petróleo,Evie,masculino,23/11/1995,1.74,111,9.32,30,42035.02
5108755658017222,engenharia civil,Beauregard,feminino,25/08/1996,1.68,106,0.51,21,40609.11
5048371305903492,engenharia civil,Micheal,feminino,21/10/1995,2.02,77,3.43,29,33637.26
5108753822339853,engenharia de produção,Connie,feminino,30/04/2001,1.67,70,6.17,0,36759.96
5108755373342483,engenharia naval,Garry,masculino,03/11/2001,1.6,63,6.56,14,30134.18
5048378867568498,engenharia de petróleo,Cyrill,masculino,11/11/2001,1.66,89,3.75,19,1186.26
5048377431487516,engenharia de petróleo,Ringo,masculino,03/01/2002,1.86,61,7.59,6,5872.83
5108757004498528,engenharia de produção,Dev,feminino,30/03/1997,1.51,93,8.05,22,30894.43
5048377813322950,engenharia naval,Quinn,feminino,10/11/2001,1.61,104,4.51,8,12833.74
5108752237968322,engenharia de produção,Renaud,masculino,14/10/1995,1.82,78,8.33,23,40201.77
5108756727472539,engenharia naval,Jarred,feminino,31/08/2001,1.86,46,9.89,10,25936.96
5108750882012099,engenharia mecânica,Silvio,masculino,09/01/2002,1.79,82,5.05,16,19814.57
5048371973997438,engenharia mecânica,Fleurette,masculino,21/09/1996,1.81,96,1.66,0,22011.17
5108758966979539,engenharia civil,Saraann,feminino,10/05/1996,1.55,65,7.87,11,14621.23
5108759489365651,engenharia de produção,Morgan,masculino,08/01/2000,2.09,116,8.55,1,4812.36
5108754372142168,engenharia naval,Benedikt,masculino,15/10/1999,1.77,79,3.17,25,43048.88
5048373977130206,engenharia naval,Constantia,masculino,06/07/2002,1.65,96,6.58,16,26354.38
5048370840624308,engenharia de produção,Adi,masculino,10/06/1998,1.75,108,1.63,1,44072.27
5048378703945561,engenharia mecânica,Jenn,masculino,15/07/1996,1.72,65,5.24,0,30466.97
5048371945194114,engenharia civil,Rosabelle,feminino,22/02/1995,2.06,66,2.1,10,44553.52
5048378939167634,engenharia de produção,Danielle,feminino,02/04/1997,2.0,65,5.88,31,12037.41
5108750809070022,engenharia de petróleo,Coral,masculino,28/02/1996,2.04,100,1.9,11,29862.31
5048379124553810,engenharia mecânica,Rene,feminino,06/07/1998,1.66,46,2.77,7,23787.19
5108752432537187,engenharia naval,Thatch,feminino,05/03/1995,1.53,119,5.82,20,15293.04
5048374109024150,engenharia mecânica,Frederich,masculino,02/09/1997,1.96,107,1.86,27,44064.23
5048371248108910,engenharia naval,Valentine,feminino,18/11/1996,1.57,74,3.45,6,17161.9
5108757493162932,engenharia mecânica,Nona,feminino,23/04/1997,1.84,94,7.6,10,37140.29
5048379010714666,engenharia de produção,Cosetta,masculino,30/06/1999,2.04,57,6.66,16,17649.05
5048371430186799,engenharia civil,Burtie,masculino,06/05/1996,1.57,118,6.6,13,3939.49
5048373064085248,engenharia mecânica,Veronike,masculino,14/03/1995,2.08,47,6.69,31,20222.27
5048372288744705,engenharia de produção,Abrahan,masculino,10/02/2000,1.85,119,3.17,1,20091.39
5048379405595480,engenharia mecânica,Fairlie,masculino,05/05/1998,1.87,84,7.25,12,26333.36
5048370617969423,engenharia mecânica,Larina,masculino,04/12/2000,1.56,62,4.08,9,19559.97
5048378920022400,engenharia de produção,Tasia,masculino,26/10/2000,1.52,68,1.67,29,7830.86
5108757623379224,engenharia de produção,Mireille,masculino,17/10/2002,1.69,83,5.5,3,25246.3
5108753103225946,engenharia de petróleo,Kala,feminino,01/12/2001,1.79,118,8.78,20,20281.49
5048370916066806,engenharia naval,Ludovika,feminino,16/08/2002,1.82,116,0.93,7,28266.86
5108754300222603,engenharia naval,Nanni,masculino,29/07/1998,1.62,120,3.1,0,23875.43
5048374040177513,engenharia de petróleo,Karney,masculino,01/01/1996,1.51,51,4.18,4,43000.2
5048374304978069,engenharia de petróleo,Isador,masculino,24/01/2002,1.68,53,0.27,30,27282.89
5108755154327778,engenharia mecânica,Creighton,feminino,03/04/2001,1.68,66,6.27,32,23093.54
5108757869434139,engenharia de produção,Ban,feminino,12/03/2001,1.8,120,1.18,29,26519.68
5048373212560506,engenharia de petróleo,Harriet,feminino,03/01/2002,1.59,55,1.09,13,2488.86
5048374654837279,engenharia de petróleo,Andy,feminino,02/04/1996,1.73,54,3.54,28,19778.29
5048376785120368,engenharia de produção,Jeanne,masculino,30/10/1996,1.83,55,0.5,18,1671.87
5048378907845088,engenharia de petróleo,Kat,masculino,31/05/1998,1.95,60,4.28,13,40266.17
5048377491070871,engenharia mecânica,Clemente,feminino,22/12/1998,2.02,50,6.31,28,15589.68
5108755415545796,engenharia de produção,Lillian,masculino,14/12/1997,1.87,80,7.74,9,37671.44
5108758957522090,engenharia de petróleo,Perren,feminino,13/07/2002,1.57,95,4.48,18,1989.89
5048371092277514,engenharia de produção,Corbett,masculino,30/04/2000,1.65,90,8.1,13,17913.17
5048378804120452,engenharia mecânica,Jemimah,masculino,18/09/2001,1.79,45,1.12,18,20728.09
5108754254431853,engenharia civil,Jennie,masculino,18/07/2000,2.04,81,9.04,4,33885.11
5108752397760204,engenharia mecânica,Vittorio,masculino,26/10/1998,1.64,119,6.74,31,10582.9
5048375024461237,engenharia de produção,Kitty,masculino,16/11/1997,1.98,93,4.86,11,2760.27
5108759344144127,engenharia de petróleo,Sean,feminino,07/07/1998,1.67,91,8.36,7,37161.18
5048374657759686,engenharia civil,Lizette,masculino,09/08/1996,1.59,104,2.75,32,14883.81
5048370750876732,engenharia de petróleo,Eugenius,masculino,09/08/2000,1.84,90,0.9,31,29700.52
5048371882517996,engenharia naval,Zachery,feminino,08/05/1995,1.91,71,9.76,8,29671.15
5048370855323945,engenharia naval,Harlen,masculino,11/12/1998,1.76,84,3.22,28,23091.62
5048379470224248,engenharia mecânica,Arlyne,masculino,27/02/1995,2.07,67,4.18,8,27048.74
5108755628922923,engenharia de produção,Teresita,feminino,24/08/2000,1.84,68,4.66,5,34155.55
5048375120950190,engenharia naval,Hernando,feminino,20/02/1999,1.95,67,9.37,20,23064.01
5048370393587506,engenharia mecânica,Aurlie,masculino,27/09/1996,1.61,78,8.34,31,20741.19
5048373367180712,engenharia naval,Reinhold,feminino,18/02/1995,1.87,98,1.94,24,16008.44
5108755031028060,engenharia civil,Meredith,masculino,29/04/1995,2.04,102,9.64,27,14600.61
5108759665146958,engenharia naval,Rani,masculino,11/08/1997,1.68,80,9.86,6,9054.24
5048377634776236,engenharia mecânica,Fanni,feminino,13/10/1997,1.8,49,1.46,13,7265.65
5108750607257011,engenharia de petróleo,Wayland,masculino,25/12/2002,1.82,82,9.72,31,29602.75
5108752786309555,engenharia mecânica,Wilton,masculino,09/11/1996,1.92,118,5.19,1,14692.45
5048377967090882,engenharia naval,Lucian,masculino,13/03/2002,1.75,101,7.75,5,27845.05
5048377706602823,engenharia naval,Tyne,masculino,07/05/1999,1.86,73,5.45,1,25327.23
5108757985060552,engenharia mecânica,Annie,masculino,04/03/2002,2.06,110,3.13,15,26407.19
5048372850276292,engenharia mecânica,Lanie,masculino,17/03/2002,1.8,92,0.96,13,9223.25
